StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q29_6,Q29_7,Q29_8,Q29_9,Q29_10,Q29_11,Q29_12,Q29_DO_1,Q29_DO_2,Q29_DO_3,Q29_DO_4,Q29_DO_5,Q29_DO_6,Q29_DO_7,Q29_DO_8,Q29_DO_9,Q29_DO_10,Q29_DO_11,Q29_DO_12,Q33,Q35,Q38,Q26,order,FL_15_DO_FL_16,FL_15_DO_FL_17,FL_13_DO_apartmentpref,FL_13_DO_wardrobe,FL_13_DO_bedroom,FL_13_DO_homeoffice,FL_22_DO_apartmentpref,FL_22_DO_wardrobe,FL_22_DO_bedroom,FL_22_DO_homeoffice,MinScale_DO_Q29,TWIN_ID
Start Date,End Date,Progress,Duration (in seconds),Finished,Recorded Date,"Please indicate the extent to which you agree with the following statements about yourself: - ""Less is more"" when it comes to owning things.",Please indicate the extent to which you agree with the following statements about yourself: - I actively avoid acquiring excess possessions.,Please indicate the extent to which you agree with the following statements about yourself: - I avoid accumulating lots of stuff.,Please indicate the extent to which you agree with the following statements about yourself: - I restrict the number of things I own.,Please indicate the extent to which you agree with the following statements about yourself: - I am drawn to visually sparse environments.,Please indicate the extent to which you agree with the following statements about yourself: - I prefer leaving spaces visually empty over filling them.,Please indicate the extent to which you agree with the following statements about yourself: - I keep the aesthetic in my home very sparse.,Please indicate the extent to which you agree with the following statements about yourself: - I prefer simplicity in design.,Please indicate the extent to which you agree with the following statements about yourself: - It is important to me to be thoughtful about what I choose to own.,Please indicate the extent to which you agree with the following statements about yourself: - I am mindful of what I own.,Please indicate the extent to which you agree with the following statements about yourself: - My belongings are mindfully selected.,Please indicate the extent to which you agree with the following statements about yourself: - The selection of things I own has been carefully curated.,"Please indicate the extent to which you agree with the following statements about yourself: - Display Order - ""Less is more"" when it comes to owning things.",Please indicate the extent to which you agree with the following statements about yourself: - Display Order - I actively avoid acquiring excess possessions.,Please indicate the extent to which you agree with the following statements about yourself: - Display Order - I avoid accumulating lots of stuff.,Please indicate the extent to which you agree with the following statements about yourself: - Display Order - I restrict the number of things I own.,Please indicate the extent to which you agree with the following statements about yourself: - Display Order - I am drawn to visually sparse environments.,Please indicate the extent to which you agree with the following statements about yourself: - Display Order - I prefer leaving spaces visually empty over filling them.,Please indicate the extent to which you agree with the following statements about yourself: - Display Order - I keep the aesthetic in my home very sparse.,Please indicate the extent to which you agree with the following statements about yourself: - Display Order - I prefer simplicity in design.,Please indicate the extent to which you agree with the following statements about yourself: - Display Order - It is important to me to be thoughtful about what I choose to own.,Please indicate the extent to which you agree with the following statements about yourself: - Display Order - I am mindful of what I own.,Please indicate the extent to which you agree with the following statements about yourself: - Display Order - My belongings are mindfully selected.,Please indicate the extent to which you agree with the following statements about yourself: - Display Order - The selection of things I own has been carefully curated.,"Below, are pictures of rooms in two different apartments.

 





Which apartment would you rather live in?","Below, are pictures of two wardrobes.  





Which wardrobe is more appealing to you?","Here are the descriptions of two bedrooms. 



First option:

A vibrant bedroom filled with colorful patterns, featuring a mix of floral and botanical prints on the bedding and wallpaper. A variety of throw pillows, unique lamps, and framed artwork create a bold, eclectic, and lively atmosphere.

 

Second option:

A minimalist bedroom has a light wood platform bed with white bedding, two pillows, and a neatly folded gray blanket. On one side is a small round table with a plant, and on the other is a clear bedside unit holding a few essentials.

 

Which bedroom do you like more?","Here are the descriptions of two home offices.



First option:

A minimalist and modern home office featuring a floating wooden desk, a sleek grey swivel chair, and a clean setup with a desktop computer and lamp. Built-in shelves with books and decor, along with floor-to-ceiling neutral curtains, create a clean atmosphere. 

 

Second option:

A cozy and eclectic home office combines functionality with vibrant personality, featuring a metal-framed desk, a patterned chair, and layered storage options including woven baskets and open shelving. Colorful textiles, books, and decorative accents add warmth and charm.

 

Which home office would you prefer to be yours?",order,FL_15 - Block Randomizer - Display Order - FL_16,FL_15 - Block Randomizer - Display Order - FL_17,FL_13 - Block Randomizer - Display Order - apartmentpref,FL_13 - Block Randomizer - Display Order - wardrobe,FL_13 - Block Randomizer - Display Order - bedroom,FL_13 - Block Randomizer - Display Order - homeoffice,FL_22 - Block Randomizer - Display Order - apartmentpref,FL_22 - Block Randomizer - Display Order - wardrobe,FL_22 - Block Randomizer - Display Order - bedroom,FL_22 - Block Randomizer - Display Order - homeoffice,Min Scale - Display Order - Q29,TWIN_ID
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID36_2""}","{""ImportId"":""QID36_3""}","{""ImportId"":""QID36_4""}","{""ImportId"":""QID36_5""}","{""ImportId"":""QID36_6""}","{""ImportId"":""QID36_7""}","{""ImportId"":""QID36_8""}","{""ImportId"":""QID36_9""}","{""ImportId"":""QID36_10""}","{""ImportId"":""QID36_11""}","{""ImportId"":""QID36_12""}","{""ImportId"":""QID36_DO"",""choiceId"":""1""}","{""ImportId"":""QID36_DO"",""choiceId"":""2""}","{""ImportId"":""QID36_DO"",""choiceId"":""3""}","{""ImportId"":""QID36_DO"",""choiceId"":""4""}","{""ImportId"":""QID36_DO"",""choiceId"":""5""}","{""ImportId"":""QID36_DO"",""choiceId"":""6""}","{""ImportId"":""QID36_DO"",""choiceId"":""7""}","{""ImportId"":""QID36_DO"",""choiceId"":""8""}","{""ImportId"":""QID36_DO"",""choiceId"":""9""}","{""ImportId"":""QID36_DO"",""choiceId"":""10""}","{""ImportId"":""QID36_DO"",""choiceId"":""11""}","{""ImportId"":""QID36_DO"",""choiceId"":""12""}","{""ImportId"":""QID18""}","{""ImportId"":""QID20""}","{""ImportId"":""QID23""}","{""ImportId"":""QID25""}","{""ImportId"":""order""}","{""ImportId"":""FL_15_DO"",""choiceId"":""FL_16""}","{""ImportId"":""FL_15_DO"",""choiceId"":""FL_17""}","{""ImportId"":""FL_13_DO"",""choiceId"":""apartmentpref""}","{""ImportId"":""FL_13_DO"",""choiceId"":""wardrobe""}","{""ImportId"":""FL_13_DO"",""choiceId"":""bedroom""}","{""ImportId"":""FL_13_DO"",""choiceId"":""homeoffice""}","{""ImportId"":""FL_22_DO"",""choiceId"":""apartmentpref""}","{""ImportId"":""FL_22_DO"",""choiceId"":""wardrobe""}","{""ImportId"":""FL_22_DO"",""choiceId"":""bedroom""}","{""ImportId"":""FL_22_DO"",""choiceId"":""homeoffice""}","{""ImportId"":""BL_bxURjJ6UT4x3pXf_DO"",""choiceId"":""Q29""}",TWIN_ID
6/12/2025 18:04,6/12/2025 18:06,100,110,1,6/12/2025 18:06,1,1,1,1,5,2,1,5,1,2,1,1,12,2,5,8,7,3,6,10,4,1,11,9,6,7,2,7,2,,1,,,,,1,2,4,3,1,2
6/12/2025 17:56,6/12/2025 17:58,100,119,1,6/12/2025 17:58,3,4,4,3,5,3,3,5,6,5,3,4,4,1,9,11,5,12,10,6,8,3,2,7,6,7,7,7,1,1,,4,3,1,2,,,,,1,3
6/12/2025 17:51,6/12/2025 17:53,100,111,1,6/12/2025 17:53,7,7,7,7,5,6,5,4,7,7,7,7,8,11,3,7,6,9,10,4,1,12,5,2,7,7,7,7,1,1,,3,2,4,1,,,,,1,13
6/12/2025 17:51,6/12/2025 17:52,100,100,1,6/12/2025 17:52,4,5,5,3,3,5,5,5,3,5,5,4,2,10,12,4,7,9,11,3,1,8,5,6,7,7,7,7,2,,1,,,,,2,1,4,3,1,15
6/12/2025 17:50,6/12/2025 17:51,100,86,1,6/12/2025 17:51,2,4,3,3,2,2,2,2,5,5,5,5,8,9,12,6,3,11,7,10,2,4,1,5,1,1,1,1,1,1,,2,4,3,1,,,,,1,22
6/12/2025 17:56,6/12/2025 17:58,100,112,1,6/12/2025 17:58,4,4,2,2,3,5,2,3,5,2,3,3,11,5,8,3,6,4,9,7,12,10,2,1,5,7,7,5,2,,1,,,,,4,1,2,3,1,40
6/12/2025 17:51,6/12/2025 17:54,100,163,1,6/12/2025 17:54,4,3,3,3,4,4,3,4,4,4,5,3,2,5,7,1,9,12,8,10,6,4,3,11,3,6,4,6,2,,1,,,,,4,3,2,1,1,64
6/12/2025 17:51,6/12/2025 17:52,100,105,1,6/12/2025 17:52,5,7,7,7,5,5,5,4,6,7,6,6,10,3,8,11,5,7,6,9,1,2,4,12,4,3,1,2,2,,1,,,,,2,3,1,4,1,65
6/12/2025 18:00,6/12/2025 18:02,100,165,1,6/12/2025 18:02,6,5,6,6,5,4,5,6,6,6,6,5,12,9,11,2,1,8,7,5,3,6,10,4,5,7,6,6,2,,1,,,,,1,3,2,4,1,66
6/12/2025 17:50,6/12/2025 17:52,100,118,1,6/12/2025 17:52,4,6,5,6,5,6,6,5,7,6,5,5,2,8,12,11,1,5,9,4,7,6,3,10,6,2,4,2,2,,1,,,,,4,3,2,1,1,68
6/12/2025 17:56,6/12/2025 17:59,100,180,1,6/12/2025 17:59,7,7,6,7,7,7,7,7,7,7,7,6,5,2,10,12,6,1,9,8,3,4,7,11,1,7,7,7,1,1,,4,2,3,1,,,,,1,80
6/12/2025 17:56,6/12/2025 17:58,100,124,1,6/12/2025 17:58,4,4,4,4,2,3,2,3,5,5,5,5,6,12,11,2,9,10,8,4,5,7,1,3,2,5,3,3,1,1,,2,3,4,1,,,,,1,84
6/12/2025 18:02,6/12/2025 18:07,100,344,1,6/12/2025 18:07,2,5,5,5,1,2,1,5,5,6,5,5,5,7,3,10,2,9,1,12,4,6,8,11,3,5,1,1,1,1,,1,2,3,4,,,,,1,86
6/12/2025 18:00,6/12/2025 18:03,100,146,1,6/12/2025 18:03,6,5,6,4,4,5,5,6,6,5,5,5,4,7,5,11,6,8,1,2,10,3,9,12,3,6,3,4,1,1,,2,3,1,4,,,,,1,104
6/12/2025 17:52,6/12/2025 17:54,100,124,1,6/12/2025 17:54,6,3,4,6,7,6,6,7,7,7,7,5,1,2,3,5,10,12,8,9,7,4,11,6,7,7,7,7,2,,1,,,,,1,2,3,4,1,105
6/12/2025 18:03,6/12/2025 18:04,100,84,1,6/12/2025 18:04,7,7,7,7,7,6,7,6,7,7,7,7,5,4,2,8,12,6,9,3,1,10,7,11,7,6,7,6,1,1,,4,3,1,2,,,,,1,109
6/12/2025 18:01,6/12/2025 18:02,100,45,1,6/12/2025 18:02,2,2,5,2,2,2,3,3,3,2,3,3,8,12,5,9,3,11,10,6,4,2,7,1,2,3,2,3,2,,1,,,,,3,1,4,2,1,117
6/12/2025 17:51,6/12/2025 17:53,100,144,1,6/12/2025 17:53,6,6,6,5,5,6,6,7,5,7,7,3,3,7,10,6,12,5,2,8,11,4,9,1,7,6,5,6,1,1,,2,1,3,4,,,,,1,120
6/12/2025 17:54,6/12/2025 17:58,100,253,1,6/12/2025 17:58,4,5,3,3,3,4,4,5,5,6,5,4,9,6,1,11,10,7,2,12,4,8,5,3,3,2,2,4,1,1,,4,2,1,3,,,,,1,121
6/12/2025 17:58,6/12/2025 18:08,100,576,1,6/12/2025 18:08,5,5,6,4,3,2,4,5,5,5,6,5,6,9,12,3,8,1,10,2,7,4,11,5,1,7,1,6,1,1,,2,4,3,1,,,,,1,125
6/12/2025 17:53,6/12/2025 18:01,100,507,1,6/12/2025 18:01,7,7,6,6,6,6,6,7,5,6,5,4,10,5,12,6,1,9,3,4,8,2,11,7,7,7,7,7,2,,1,,,,,2,3,4,1,1,130
6/12/2025 17:55,6/12/2025 17:57,100,78,1,6/12/2025 17:57,5,5,5,6,5,5,5,6,5,5,5,5,7,3,12,2,6,8,5,4,9,10,11,1,6,5,6,5,1,1,,1,3,2,4,,,,,1,136
6/12/2025 17:56,6/12/2025 18:00,100,191,1,6/12/2025 18:00,4,5,2,5,4,3,2,5,4,3,3,2,9,3,6,8,4,5,11,10,2,7,12,1,2,3,6,1,2,,1,,,,,4,3,1,2,1,148
6/12/2025 17:56,6/12/2025 17:58,100,170,1,6/12/2025 17:58,4,3,5,4,2,4,1,4,5,6,5,5,12,9,7,6,1,10,3,8,11,5,4,2,1,1,1,1,2,,1,,,,,2,3,4,1,1,179
6/12/2025 17:56,6/12/2025 17:59,100,167,1,6/12/2025 17:59,5,6,5,4,6,7,3,5,7,7,7,7,2,11,4,7,12,5,1,6,3,10,8,9,5,2,6,6,2,,1,,,,,2,4,3,1,1,180
6/12/2025 17:57,6/12/2025 18:00,100,164,1,6/12/2025 18:00,7,7,7,5,2,3,2,5,6,5,6,6,12,9,7,8,4,3,1,5,6,2,10,11,2,3,2,2,2,,1,,,,,2,3,1,4,1,183
6/12/2025 17:51,6/12/2025 17:53,100,118,1,6/12/2025 17:53,4,5,4,5,6,5,3,5,5,4,3,3,4,11,6,12,1,8,3,9,10,7,5,2,4,6,1,1,2,,1,,,,,3,4,2,1,1,192
6/12/2025 17:54,6/12/2025 17:57,100,188,1,6/12/2025 17:57,2,4,3,3,2,4,1,3,4,5,4,4,6,2,12,9,7,11,4,1,8,3,5,10,2,2,2,5,1,1,,1,4,2,3,,,,,1,200
