StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q29_6,Q29_7,Q29_8,Q29_9,Q29_10,Q29_11,Q29_12,Q29_DO_1,Q29_DO_2,Q29_DO_3,Q29_DO_4,Q29_DO_5,Q29_DO_6,Q29_DO_7,Q29_DO_8,Q29_DO_9,Q29_DO_10,Q29_DO_11,Q29_DO_12,Q33,Q35,Q38,Q26,order,FL_15_DO_FL_16,FL_15_DO_FL_17,FL_13_DO_apartmentpref,FL_13_DO_wardrobe,FL_13_DO_bedroom,FL_13_DO_homeoffice,FL_22_DO_apartmentpref,FL_22_DO_wardrobe,FL_22_DO_bedroom,FL_22_DO_homeoffice,MinScale_DO_Q29,TWIN_ID
6/12/2025 17:53,6/12/2025 17:56,100,196,1,6/12/2025 17:56,3,4,5,3,4,3,3,5,6,5,6,5,6,1,3,7,5,10,9,4,12,2,11,8,2,4,2,4,1,1,,4,1,2,3,,,,,1,208
6/12/2025 17:50,6/12/2025 17:55,100,270,1,6/12/2025 17:55,7,6,6,6,6,6,6,7,7,7,6,5,8,4,7,1,11,12,10,6,2,5,9,3,3,7,7,7,2,,1,,,,,4,3,2,1,1,210
6/12/2025 17:53,6/12/2025 17:54,100,100,1,6/12/2025 17:54,6,5,6,6,5,6,6,6,6,6,6,6,10,7,5,2,3,9,8,12,4,1,6,11,6,7,3,5,1,1,,2,4,1,3,,,,,1,213
6/12/2025 17:53,6/12/2025 17:55,100,100,1,6/12/2025 17:55,5,5,5,5,5,4,5,5,5,5,5,5,1,12,6,3,5,2,4,8,9,10,11,7,7,7,7,7,1,1,,1,3,2,4,,,,,1,222
6/12/2025 17:51,6/12/2025 17:53,100,167,1,6/12/2025 17:53,3,5,5,3,3,4,2,5,7,7,5,6,11,9,6,8,3,7,10,5,2,1,12,4,6,1,3,2,1,1,,1,2,4,3,,,,,1,231
6/12/2025 18:26,6/12/2025 18:28,100,103,1,6/12/2025 18:28,7,7,7,7,7,7,7,7,7,7,7,6,7,8,6,5,3,10,12,1,2,4,11,9,6,7,5,7,2,,1,,,,,4,3,1,2,1,232
6/12/2025 17:51,6/12/2025 17:54,100,180,1,6/12/2025 17:54,6,6,6,6,7,6,6,7,6,6,6,5,1,11,8,6,7,3,2,9,5,4,10,12,7,7,2,6,2,,1,,,,,4,2,3,1,1,234
6/12/2025 17:49,6/12/2025 17:50,100,92,1,6/12/2025 17:50,6,7,7,6,6,6,5,5,7,7,7,6,12,2,4,11,9,8,6,1,3,5,10,7,3,5,5,5,1,1,,4,1,2,3,,,,,1,238
6/12/2025 18:02,6/12/2025 18:04,100,164,1,6/12/2025 18:04,6,6,6,6,3,4,4,6,6,6,6,4,1,9,2,4,6,11,5,7,8,12,3,10,6,7,6,6,1,1,,3,1,4,2,,,,,1,239
6/12/2025 17:59,6/12/2025 18:04,100,293,1,6/12/2025 18:04,4,3,3,2,3,3,4,5,6,5,5,5,10,8,4,2,9,12,6,7,1,11,5,3,5,1,6,6,2,,1,,,,,4,1,2,3,1,243
6/12/2025 17:53,6/12/2025 17:55,100,103,1,6/12/2025 17:55,7,7,7,7,7,7,7,7,7,7,7,7,8,5,6,1,3,4,9,12,7,11,10,2,7,7,7,7,2,,1,,,,,1,4,3,2,1,258
6/12/2025 18:01,6/12/2025 18:03,100,112,1,6/12/2025 18:03,5,5,5,5,6,5,4,5,7,7,6,6,2,11,10,8,9,12,1,3,5,6,4,7,6,6,5,5,1,1,,4,2,1,3,,,,,1,266
6/12/2025 17:51,6/12/2025 17:54,100,169,1,6/12/2025 17:54,5,7,6,3,3,3,3,3,7,6,6,4,4,1,2,10,3,12,9,7,8,11,5,6,6,7,7,2,1,1,,4,1,3,2,,,,,1,271
6/12/2025 17:53,6/12/2025 17:56,100,150,1,6/12/2025 17:56,4,5,5,5,3,4,6,6,7,4,4,5,2,10,4,8,1,6,12,11,5,9,3,7,5,2,3,2,1,1,,2,1,3,4,,,,,1,288
6/12/2025 18:11,6/12/2025 18:14,100,169,1,6/12/2025 18:14,7,6,7,6,6,7,3,5,7,6,6,7,7,9,4,2,10,3,12,6,1,8,5,11,7,6,7,6,2,,1,,,,,1,4,3,2,1,296
6/12/2025 18:03,6/12/2025 18:04,100,75,1,6/12/2025 18:04,7,7,6,6,6,7,6,6,6,6,5,5,5,1,6,4,7,11,9,12,3,8,10,2,7,7,7,7,2,,1,,,,,1,2,4,3,1,301
6/12/2025 18:09,6/12/2025 18:14,100,275,1,6/12/2025 18:14,4,4,4,4,4,4,4,5,5,5,4,4,9,7,6,4,10,12,11,3,5,2,1,8,4,4,4,6,1,1,,4,1,2,3,,,,,1,304
6/12/2025 17:51,6/12/2025 17:52,100,69,1,6/12/2025 17:52,3,5,6,3,2,3,2,3,5,6,6,6,10,5,8,11,2,9,4,3,12,6,7,1,2,1,2,2,1,1,,3,4,2,1,,,,,1,312
6/12/2025 17:50,6/12/2025 17:52,100,101,1,6/12/2025 17:52,7,7,6,7,6,6,6,7,6,6,6,6,4,11,6,3,9,10,5,8,12,1,2,7,5,6,1,2,2,,1,,,,,4,1,2,3,1,314
6/12/2025 17:54,6/12/2025 17:56,100,120,1,6/12/2025 17:56,7,7,7,7,7,7,7,7,7,7,5,5,8,12,11,10,7,3,2,6,1,9,5,4,7,7,7,7,1,1,,4,2,1,3,,,,,1,320
6/12/2025 17:52,6/12/2025 17:56,100,270,1,6/12/2025 17:56,5,5,5,4,3,3,5,6,5,5,5,3,10,11,1,8,9,3,5,12,6,7,4,2,3,6,5,5,1,1,,4,1,3,2,,,,,1,335
6/12/2025 17:52,6/12/2025 17:55,100,147,1,6/12/2025 17:55,7,7,7,7,7,7,7,7,7,7,7,7,10,8,1,6,7,3,12,5,11,9,2,4,7,5,5,5,2,,1,,,,,4,1,2,3,1,346
6/12/2025 17:51,6/12/2025 17:52,100,107,1,6/12/2025 17:52,5,5,5,5,6,6,5,6,5,5,5,5,4,3,5,8,7,2,6,10,11,12,9,1,5,5,5,5,2,,1,,,,,1,3,4,2,1,349
6/12/2025 18:00,6/12/2025 18:02,100,94,1,6/12/2025 18:02,6,5,5,5,4,3,4,5,5,5,5,5,6,9,12,10,8,3,5,4,1,2,11,7,3,5,3,6,1,1,,3,1,4,2,,,,,1,359
6/12/2025 18:00,6/12/2025 18:01,100,73,1,6/12/2025 18:01,3,5,3,5,3,3,2,2,6,6,5,5,8,10,7,9,4,11,5,6,3,2,1,12,5,3,3,2,1,1,,1,3,2,4,,,,,1,371
6/12/2025 17:53,6/12/2025 17:55,100,138,1,6/12/2025 17:55,2,2,7,2,2,2,5,5,6,6,2,6,8,12,4,5,11,7,3,2,6,1,9,10,1,1,6,1,1,1,,4,1,3,2,,,,,1,375
6/12/2025 18:09,6/12/2025 18:11,100,127,1,6/12/2025 18:11,7,7,7,7,7,7,6,7,7,7,7,7,4,6,10,7,8,11,5,9,3,2,1,12,7,7,4,7,2,,1,,,,,3,1,2,4,1,388
6/12/2025 17:50,6/12/2025 17:52,100,100,1,6/12/2025 17:52,7,7,7,7,7,7,7,7,7,7,7,7,6,11,8,4,7,1,12,10,3,9,5,2,7,7,7,7,2,,1,,,,,1,3,4,2,1,394
6/12/2025 17:51,6/12/2025 17:53,100,83,1,6/12/2025 17:53,1,4,4,4,1,1,1,1,7,7,7,7,4,6,3,10,5,1,11,9,2,12,8,7,1,1,1,1,2,,1,,,,,4,2,1,3,1,396
6/12/2025 18:17,6/12/2025 18:22,100,313,1,6/12/2025 18:22,7,7,7,7,7,6,7,7,7,5,7,7,9,3,5,7,12,1,11,4,10,2,6,8,7,7,7,7,1,1,,1,4,3,2,,,,,1,403
6/12/2025 17:50,6/12/2025 17:53,100,140,1,6/12/2025 17:53,3,4,5,3,1,2,5,2,6,6,6,5,5,3,1,6,8,7,12,9,10,11,2,4,3,3,3,2,2,,1,,,,,3,2,1,4,1,407
6/12/2025 18:03,6/12/2025 18:05,100,124,1,6/12/2025 18:05,5,4,4,3,5,5,4,5,4,5,5,4,1,9,10,7,5,2,11,6,8,12,3,4,3,7,6,7,1,1,,3,1,4,2,,,,,1,415
6/12/2025 17:53,6/12/2025 17:55,100,118,1,6/12/2025 17:55,5,5,5,5,3,4,2,3,5,5,6,6,6,1,2,8,3,9,11,4,12,10,5,7,5,3,3,7,1,1,,3,1,2,4,,,,,1,422
6/12/2025 18:14,6/12/2025 18:15,100,85,1,6/12/2025 18:15,7,7,7,7,7,6,6,6,7,6,6,6,9,6,7,11,2,10,8,4,12,3,1,5,6,6,6,3,2,,1,,,,,3,4,1,2,1,438
6/12/2025 18:00,6/12/2025 18:02,100,149,1,6/12/2025 18:02,4,4,2,3,4,4,3,4,4,3,4,3,5,8,2,3,12,10,1,9,4,11,6,7,3,3,2,3,2,,1,,,,,4,1,2,3,1,446
6/12/2025 18:03,6/12/2025 18:04,100,96,1,6/12/2025 18:04,6,6,6,5,6,6,6,7,5,5,4,5,11,10,6,5,3,2,12,8,1,4,7,9,7,7,7,7,2,,1,,,,,2,3,4,1,1,447
6/12/2025 17:56,6/12/2025 17:58,100,131,1,6/12/2025 17:58,4,2,5,1,3,4,1,6,7,7,7,7,8,7,10,9,11,1,12,2,4,6,3,5,1,1,1,3,1,1,,4,2,3,1,,,,,1,451
6/12/2025 17:56,6/12/2025 17:58,100,161,1,6/12/2025 17:58,4,2,2,2,3,4,3,6,6,2,6,4,8,7,4,5,9,10,2,1,11,6,3,12,3,5,3,4,1,1,,2,1,4,3,,,,,1,457
6/12/2025 18:01,6/12/2025 18:02,100,67,1,6/12/2025 18:02,4,5,6,3,5,4,6,6,4,6,6,5,1,12,10,9,2,4,7,11,8,5,6,3,7,7,6,7,2,,1,,,,,1,2,3,4,1,460
6/12/2025 17:50,6/12/2025 17:54,100,204,1,6/12/2025 17:54,6,6,6,6,6,4,5,6,6,6,6,5,11,9,10,7,8,4,2,12,5,6,3,1,7,7,7,4,2,,1,,,,,2,1,3,4,1,494
6/12/2025 17:52,6/12/2025 17:55,100,207,1,6/12/2025 17:55,4,6,4,5,6,5,6,6,6,7,5,6,10,4,11,12,7,9,2,8,1,3,6,5,7,7,1,4,1,1,,1,2,4,3,,,,,1,497
6/12/2025 17:57,6/12/2025 17:59,100,119,1,6/12/2025 17:59,4,5,4,4,3,3,4,5,4,4,4,4,7,12,2,6,9,11,5,1,10,3,4,8,6,6,6,3,2,,1,,,,,3,2,1,4,1,499
6/12/2025 18:06,6/12/2025 18:09,100,179,1,6/12/2025 18:09,4,7,7,7,7,7,7,7,7,7,7,5,8,7,9,3,2,1,5,6,4,12,10,11,7,7,7,5,1,1,,4,1,2,3,,,,,1,504
6/12/2025 17:58,6/12/2025 18:00,100,112,1,6/12/2025 18:00,4,6,5,5,2,1,1,2,5,5,4,5,12,1,3,11,4,8,10,7,9,6,5,2,1,1,1,2,1,1,,1,2,4,3,,,,,1,522
6/12/2025 17:55,6/12/2025 17:59,100,214,1,6/12/2025 17:59,4,3,5,5,2,3,5,5,5,6,5,4,10,5,9,11,3,1,8,12,6,2,4,7,7,7,6,6,1,1,,1,4,2,3,,,,,1,534
6/12/2025 18:04,6/12/2025 18:05,100,67,1,6/12/2025 18:05,7,6,6,6,7,6,6,7,7,7,7,7,7,9,2,1,4,8,11,12,5,3,10,6,5,7,7,5,1,1,,4,3,2,1,,,,,1,537
6/12/2025 18:01,6/12/2025 18:02,100,79,1,6/12/2025 18:02,3,3,5,5,4,3,3,5,3,4,3,3,8,4,5,2,3,1,6,12,11,9,7,10,2,6,6,2,2,,1,,,,,2,3,4,1,1,560
6/12/2025 17:53,6/12/2025 17:57,100,213,1,6/12/2025 17:57,5,5,5,5,2,5,2,3,7,7,6,5,10,11,1,12,5,9,6,8,4,3,2,7,5,3,6,2,2,,1,,,,,4,3,2,1,1,562
6/12/2025 17:53,6/12/2025 17:54,100,47,1,6/12/2025 17:54,4,5,5,5,3,4,3,5,5,6,5,6,8,4,2,3,9,6,1,11,7,5,12,10,5,6,5,6,1,1,,2,3,4,1,,,,,1,564
6/12/2025 18:05,6/12/2025 18:08,100,182,1,6/12/2025 18:08,5,5,4,6,3,5,4,4,7,6,6,5,4,10,1,6,2,12,11,9,7,8,3,5,3,3,3,3,2,,1,,,,,2,4,1,3,1,569
6/12/2025 18:04,6/12/2025 18:05,100,50,1,6/12/2025 18:05,5,5,5,5,5,5,5,5,5,5,5,5,5,10,7,9,1,4,11,12,2,3,8,6,6,6,6,6,2,,1,,,,,1,2,4,3,1,573
6/12/2025 17:52,6/12/2025 17:54,100,101,1,6/12/2025 17:54,1,2,2,1,1,1,1,2,7,5,6,6,11,7,2,10,9,5,4,3,1,8,12,6,1,1,1,1,2,,1,,,,,2,3,4,1,1,576
6/12/2025 17:57,6/12/2025 18:01,100,222,1,6/12/2025 18:01,5,6,5,5,5,5,5,6,6,6,6,6,4,11,5,10,9,8,2,1,7,3,6,12,5,3,6,6,1,1,,2,1,3,4,,,,,1,583
6/12/2025 17:56,6/12/2025 17:59,100,137,1,6/12/2025 17:59,7,7,7,7,7,7,5,7,7,7,7,7,1,10,8,11,7,6,4,5,2,12,9,3,4,7,1,7,1,1,,2,4,1,3,,,,,1,586
6/12/2025 17:51,6/12/2025 17:53,100,95,1,6/12/2025 17:53,4,3,4,3,5,3,3,5,5,7,7,6,1,7,9,10,3,11,6,2,5,8,12,4,7,7,3,5,1,1,,4,1,3,2,,,,,1,596
6/12/2025 18:00,6/12/2025 18:07,100,446,1,6/12/2025 18:07,4,7,7,7,3,4,3,4,7,7,7,4,6,3,11,1,9,2,5,12,7,4,8,10,3,7,3,1,1,1,,1,3,4,2,,,,,1,598
6/12/2025 17:58,6/12/2025 17:59,100,91,1,6/12/2025 17:59,5,5,5,5,4,5,4,4,5,5,5,4,8,6,5,3,7,2,11,1,10,4,9,12,5,6,5,6,1,1,,4,2,3,1,,,,,1,604
6/12/2025 17:50,6/12/2025 17:52,100,81,1,6/12/2025 17:52,3,3,3,3,3,3,3,5,4,3,3,3,8,1,6,12,2,7,10,4,3,5,11,9,1,1,2,2,1,1,,4,2,3,1,,,,,1,610
6/12/2025 18:02,6/12/2025 18:05,100,160,1,6/12/2025 18:05,5,4,6,3,5,4,5,6,5,6,5,3,10,8,11,5,7,6,12,2,4,3,1,9,6,7,5,4,2,,1,,,,,3,1,2,4,1,618
6/12/2025 18:02,6/12/2025 18:05,100,185,1,6/12/2025 18:05,2,7,1,3,1,2,2,6,7,6,5,3,12,3,9,1,11,7,4,2,5,10,8,6,1,1,3,3,2,,1,,,,,4,2,1,3,1,624
6/12/2025 17:59,6/12/2025 18:01,100,93,1,6/12/2025 18:01,6,6,6,6,5,5,5,6,6,6,6,6,12,10,11,5,7,8,2,1,9,6,3,4,5,7,4,6,1,1,,4,3,2,1,,,,,1,638
6/12/2025 17:51,6/12/2025 17:53,100,131,1,6/12/2025 17:53,4,6,6,5,3,4,2,4,5,5,5,5,12,9,3,1,11,7,4,5,10,8,2,6,3,3,2,2,2,,1,,,,,1,3,2,4,1,648
6/12/2025 17:57,6/12/2025 18:00,100,180,1,6/12/2025 18:00,5,6,6,5,4,4,6,5,7,7,7,5,1,10,11,7,8,5,3,2,9,6,12,4,3,3,3,3,1,1,,1,3,4,2,,,,,1,649
6/12/2025 17:57,6/12/2025 17:58,100,89,1,6/12/2025 17:58,3,5,5,4,4,2,3,4,5,5,5,3,12,4,2,1,11,7,10,5,9,8,6,3,5,3,2,2,2,,1,,,,,1,3,2,4,1,652
6/12/2025 18:11,6/12/2025 18:15,100,222,1,6/12/2025 18:15,7,6,6,6,5,5,6,7,7,7,6,7,12,1,3,11,10,6,8,2,5,7,9,4,5,6,7,6,1,1,,3,4,2,1,,,,,1,654
6/12/2025 17:54,6/12/2025 18:02,100,483,1,6/12/2025 18:02,5,7,6,5,1,1,2,2,6,6,6,6,5,12,6,3,11,10,7,2,1,4,8,9,1,3,1,1,2,,1,,,,,4,2,1,3,1,684
6/12/2025 18:00,6/12/2025 18:01,100,80,1,6/12/2025 18:01,6,7,7,6,2,3,4,4,5,7,4,3,4,1,3,12,6,11,10,7,8,2,9,5,3,5,2,6,2,,1,,,,,4,2,1,3,1,696
6/12/2025 17:58,6/12/2025 18:00,100,137,1,6/12/2025 18:00,7,7,7,7,6,5,6,6,7,7,7,7,8,9,12,7,5,2,11,4,6,1,3,10,7,7,7,6,2,,1,,,,,2,3,4,1,1,697
6/12/2025 17:52,6/12/2025 17:54,100,119,1,6/12/2025 17:54,6,6,6,6,6,6,6,6,6,6,6,4,10,1,11,9,12,2,4,7,5,8,3,6,7,7,7,7,2,,1,,,,,3,4,1,2,1,702
6/12/2025 18:03,6/12/2025 18:05,100,117,1,6/12/2025 18:05,6,2,6,5,5,6,5,6,6,6,6,5,5,4,1,12,11,2,6,7,9,10,3,8,3,7,5,4,2,,1,,,,,2,3,1,4,1,710
6/12/2025 17:51,6/12/2025 17:55,100,202,1,6/12/2025 17:55,5,5,7,6,5,6,5,5,6,6,6,5,4,1,11,6,2,3,5,7,10,9,12,8,3,3,4,3,1,1,,2,3,1,4,,,,,1,711
6/12/2025 17:52,6/12/2025 17:54,100,131,1,6/12/2025 17:54,6,7,6,3,5,6,5,7,6,6,6,5,7,2,5,3,10,11,6,12,9,8,1,4,5,7,6,6,2,,1,,,,,3,1,4,2,1,714
6/12/2025 17:53,6/12/2025 17:55,100,128,1,6/12/2025 17:55,6,7,7,7,4,4,4,4,7,7,7,7,5,8,2,3,4,6,10,9,12,7,1,11,5,5,3,3,2,,1,,,,,2,3,4,1,1,722
6/12/2025 17:50,6/12/2025 17:52,100,136,1,6/12/2025 17:52,5,6,6,6,2,5,6,7,6,6,6,6,9,10,12,11,1,6,8,4,3,7,2,5,5,6,6,6,1,1,,1,2,4,3,,,,,1,732
6/12/2025 17:56,6/12/2025 17:58,100,122,1,6/12/2025 17:58,4,2,2,2,4,2,2,3,3,2,3,2,2,10,9,7,6,1,3,8,11,5,12,4,1,5,3,5,1,1,,4,1,2,3,,,,,1,748
6/12/2025 18:11,6/12/2025 18:13,100,143,1,6/12/2025 18:13,3,3,2,4,6,5,5,5,6,6,6,5,8,9,6,4,11,1,7,5,2,12,3,10,7,6,5,2,1,1,,4,3,1,2,,,,,1,753
6/12/2025 17:52,6/12/2025 17:53,100,90,1,6/12/2025 17:53,5,4,4,5,4,4,3,5,5,5,5,5,6,11,7,9,5,10,12,4,8,2,3,1,2,5,4,3,2,,1,,,,,1,2,4,3,1,769
6/12/2025 17:54,6/12/2025 17:55,100,106,1,6/12/2025 17:55,5,4,2,4,4,3,2,5,4,4,5,4,4,3,9,11,7,8,1,10,5,6,2,12,1,5,6,5,2,,1,,,,,4,1,3,2,1,816
6/12/2025 17:50,6/12/2025 17:55,100,319,1,6/12/2025 17:55,4,5,3,5,5,5,5,6,5,6,6,5,8,10,4,3,2,1,11,6,12,5,7,9,5,3,5,3,2,,1,,,,,1,2,3,4,1,821
6/12/2025 17:59,6/12/2025 18:00,100,64,1,6/12/2025 18:00,5,5,6,6,6,5,6,5,6,6,5,5,2,9,10,7,6,1,3,5,8,11,4,12,6,2,6,2,1,1,,1,3,2,4,,,,,1,822
6/12/2025 18:00,6/12/2025 18:07,100,412,1,6/12/2025 18:07,7,7,7,7,7,7,7,7,7,7,7,7,10,9,2,1,11,5,6,12,7,3,8,4,1,1,1,1,2,,1,,,,,2,1,4,3,1,834
6/12/2025 18:16,6/12/2025 18:19,100,179,1,6/12/2025 18:19,6,6,6,6,5,6,6,6,5,5,6,5,8,3,2,9,1,6,4,7,12,5,10,11,6,5,6,3,2,,1,,,,,4,3,1,2,1,851
6/12/2025 17:52,6/12/2025 17:55,100,165,1,6/12/2025 17:55,4,4,3,4,4,6,6,4,6,6,6,6,8,10,6,5,7,9,2,3,11,4,12,1,7,3,3,2,1,1,,4,1,2,3,,,,,1,856
6/12/2025 18:03,6/12/2025 18:05,100,104,1,6/12/2025 18:05,6,5,4,5,5,5,3,5,5,5,4,4,2,11,5,8,3,7,4,12,1,9,6,10,5,2,5,4,1,1,,3,2,1,4,,,,,1,862
6/12/2025 17:57,6/12/2025 18:02,100,290,1,6/12/2025 18:02,5,5,6,6,5,5,5,5,5,6,5,6,10,3,7,9,8,4,5,11,1,12,6,2,4,4,5,3,2,,1,,,,,3,2,1,4,1,864
6/12/2025 17:53,6/12/2025 17:56,100,207,1,6/12/2025 17:56,6,7,6,6,5,5,6,6,7,6,6,6,9,10,3,2,4,6,1,8,5,12,7,11,6,7,6,6,1,1,,4,2,1,3,,,,,1,883
